No. Previous Orders by Customer,Customer Join Date,Customer Join Date_Year,Customer Join Date_Month,Customer Join Date_Day,Parent Service Category,Parent Service Category_Encoded,Service Name,Service Name_Encoded,Order Status,Order Status_Encoded,Order City,Order City_Encoded,Order Region,Order Region_Encoded,Desired Date,Desired Date_Year,Desired Date_Month,Desired Date_Day,Creation Date,Creation Date_Year,Creation Date_Month,Creation Date_Day,Finish Date,Finish Date_Year,Finish Date_Month,Finish Date_Day,Device,Device_android,Device_ios,Device_web,Price,Discount,Quoted Task?,Quoted Task?_AUTOMATIC_ALLOCATION,Quoted Task?_FAVORITE_ALLOCATION,Quoted Task?_MANUAL_ALLOCATION
0.0,1400-06-23 23:41:33.902017+04:30,1400,6,23,نصب و تعمیر لوازم خانگی,24,تعمیر جاروبرقی,49,Achar_Pending,0,تهران,8,عباس آباد,494,1400-06-24 01:45:02.000000+04:30,1400,6,24,1400-06-23 23:43:43.145103+04:30,1400,6,23,1400-06-24 02:45:02.000000+04:30,1400,6,24,web,0.0,0.0,1.0,0.0,0.0,MANUAL_ALLOCATION,0.0,0.0,1.0
0.2608695652173913,1399-07-10 11:33:52.252820+03:30,1399,7,10,سرمایش و گرمایش,19,تعمیر کولر آبی در محل,70,اتمام کار,3,تهران,8,فردوس غرب,520,1400-06-24 00:45:02.000000+04:30,1400,6,24,1400-06-23 23:41:15.793472+04:30,1400,6,23,1400-06-24 01:45:02.000000+04:30,1400,6,24,web,0.0,0.0,1.0,0.2222222222222222,0.0,MANUAL_ALLOCATION,0.0,0.0,1.0
0.43478260869565216,1399-04-10 17:42:41.258663+04:30,1399,4,10,سرمایش و گرمایش,19,کولر گازی,234,Achar_Pending,0,تهران,8,شهرک غرب,440,1400-06-24 11:15:02.000000+04:30,1400,6,24,1400-06-23 23:38:24.007854+04:30,1400,6,23,1400-06-24 12:15:02.000000+04:30,1400,6,24,web,0.0,0.0,1.0,0.0,0.0,MANUAL_ALLOCATION,0.0,0.0,1.0
0.2608695652173913,1399-07-10 11:33:52.252820+03:30,1399,7,10,سرمایش و گرمایش,19,تعمیر کولر آبی در محل,70,عدم انتخاب متخصص توسط مشتری,8,تهران,8,فردوس غرب,520,1400-06-24 01:00:02.000000+04:30,1400,6,24,1400-06-23 23:30:21.209798+04:30,1400,6,23,1400-06-24 02:00:02.000000+04:30,1400,6,24,web,0.0,0.0,1.0,0.0,0.0,MANUAL_ALLOCATION,0.0,0.0,1.0
0.0,1400-06-23 23:25:19.228000+04:30,1400,6,23,شستشو,20,قالیشویی,145,عدم انتخاب متخصص توسط مشتری,8,تهران,8,سیدخندان,378,1400-06-24 01:45:02.000000+04:30,1400,6,24,1400-06-23 23:29:26.693426+04:30,1400,6,23,1400-06-24 02:45:02.000000+04:30,1400,6,24,web,0.0,0.0,1.0,0.0,0.0,MANUAL_ALLOCATION,0.0,0.0,1.0
0.0,1400-06-23 23:23:16.396470+04:30,1400,6,23,شستشو,20,قالیشویی,145,Achar_Pending,0,تهران,8,پردیس,737,1400-06-25 04:00:02.000000+04:30,1400,6,25,1400-06-23 23:27:08.206836+04:30,1400,6,23,1400-06-25 05:00:02.000000+04:30,1400,6,25,web,0.0,0.0,1.0,0.0,0.0,MANUAL_ALLOCATION,0.0,0.0,1.0
0.30434782608695654,1400-06-20 14:01:44.175493+04:30,1400,6,20,باربری و جابجایی,3,اسباب کشی و حمل بار (درون و بین شهری),12,تخصیص یافته,4,تهران,8,میدان راه آهن,639,1400-06-24 04:30:02.000000+04:30,1400,6,24,1400-06-23 23:22:57.918197+04:30,1400,6,23,1400-06-24 05:30:02.000000+04:30,1400,6,24,web,0.0,0.0,1.0,0.0,0.0,MANUAL_ALLOCATION,0.0,0.0,1.0
0.0,1400-06-23 23:15:02.309746+04:30,1400,6,23,باربری و جابجایی,3,اسباب کشی و حمل بار (درون و بین شهری),12,تخصیص یافته,4,تهران,8,جنت آباد,198,1400-06-24 09:45:01.000000+04:30,1400,6,24,1400-06-23 23:22:12.209754+04:30,1400,6,23,1400-06-24 10:45:01.000000+04:30,1400,6,24,android,1.0,0.0,0.0,0.0,0.0,AUTOMATIC_ALLOCATION,1.0,0.0,0.0
0.0,1400-06-23 23:12:54.874703+04:30,1400,6,23,شستشو,20,قالیشویی,145,Achar_Pending,0,تهران,8,میدان دانشگاه,638,1400-06-25 13:15:02.000000+04:30,1400,6,25,1400-06-23 23:15:15.810641+04:30,1400,6,23,1400-06-25 14:15:02.000000+04:30,1400,6,25,web,0.0,0.0,1.0,0.0,0.0,MANUAL_ALLOCATION,0.0,0.0,1.0
0.08695652173913043,1400-06-22 23:13:52.793237+04:30,1400,6,22,نصب و تعمیر لوازم خانگی,24,تعمیرات تخصصی تلویزیون,72,تخصیص یافته,4,تهران,8,آهنگ,25,1400-06-24 09:00:02.000000+04:30,1400,6,24,1400-06-23 23:11:12.969504+04:30,1400,6,23,1400-06-24 10:00:02.000000+04:30,1400,6,24,web,0.0,0.0,1.0,0.0,0.0,AUTOMATIC_ALLOCATION,1.0,0.0,0.0
0.30434782608695654,1399-07-30 10:46:44.106538+03:30,1399,7,30,نظافت و پذیرایی,25,سرویس ویژه نظافت,122,ثبت‌ شده,6,تهران,8,تهرانسر,167,1400-06-24 15:00:01.000000+04:30,1400,6,24,1400-06-23 23:09:23.859095+04:30,1400,6,23,1400-06-24 19:00:01.000000+04:30,1400,6,24,android,1.0,0.0,0.0,0.4666666666666666,0.0,AUTOMATIC_ALLOCATION,1.0,0.0,0.0
0.13043478260869565,1400-04-30 22:04:54.356945+04:30,1400,4,30,شستشو,20,قالیشویی,145,Achar_Pending,0,تهران,8,تهران_آزادی,166,1400-06-24 19:00:02.000000+04:30,1400,6,24,1400-06-23 23:08:13.233752+04:30,1400,6,23,1400-06-24 20:00:02.000000+04:30,1400,6,24,web,0.0,0.0,1.0,0.0,0.0,MANUAL_ALLOCATION,0.0,0.0,1.0
0.13043478260869565,1400-06-10 12:32:07.801980+04:30,1400,6,10,نظافت و پذیرایی,25,سرویس عادی نظافت,117,تخصیص یافته,4,تهران,8,شهرک غرب,440,1400-06-24 12:00:02.000000+04:30,1400,6,24,1400-06-23 23:07:45.137246+04:30,1400,6,23,1400-06-24 16:00:02.000000+04:30,1400,6,24,web,0.0,0.0,1.0,0.3333333333333333,0.0,AUTOMATIC_ALLOCATION,1.0,0.0,0.0
0.4782608695652174,1398-05-09 17:38:41.806505+04:30,1398,5,9,نظافت و پذیرایی,25,سرویس عادی نظافت,117,ثبت‌ شده,6,تهران,8,سردار جنگل,358,1400-06-25 09:00:02.000000+04:30,1400,6,25,1400-06-23 22:58:13.903131+04:30,1400,6,23,1400-06-25 17:00:02.000000+04:30,1400,6,25,web,0.0,0.0,1.0,0.4666666666666666,0.0,AUTOMATIC_ALLOCATION,1.0,0.0,0.0
0.21739130434782608,1399-06-11 23:28:41.699273+04:30,1399,6,11,سرمایش و گرمایش,19,تعمیر کولر آبی در محل,70,منتظر تایید,10,تهران,8,خیابان قزوین,259,1400-06-24 10:00:01.000000+04:30,1400,6,24,1400-06-23 22:58:09.768737+04:30,1400,6,23,1400-06-24 11:00:01.000000+04:30,1400,6,24,android,1.0,0.0,0.0,0.0,0.0,MANUAL_ALLOCATION,0.0,0.0,1.0
0.043478260869565216,1400-06-19 10:51:25.791511+04:30,1400,6,19,دکوراسیون و بازسازی,17,نصب کاغذ دیواری,191,Achar_Pending,0,تهران,8,میدان حر,635,1400-06-26 09:00:02.000000+04:30,1400,6,26,1400-06-23 22:57:40.048640+04:30,1400,6,23,1400-06-26 10:00:02.000000+04:30,1400,6,26,web,0.0,0.0,1.0,0.0,0.0,MANUAL_ALLOCATION,0.0,0.0,1.0
0.043478260869565216,1400-04-19 19:35:25.177952+04:30,1400,4,19,نصب و تعمیر لوازم خانگی,24,نصب و تعمیر ماشین ظرفشویی,184,ثبت‌ شده,6,تهران,8,شهر جدید اندیشه,399,1400-06-24 09:30:01.000000+04:30,1400,6,24,1400-06-23 22:53:03.058135+04:30,1400,6,23,1400-06-24 10:30:01.000000+04:30,1400,6,24,android,1.0,0.0,0.0,0.0,0.0,MANUAL_ALLOCATION,0.0,0.0,1.0
